Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Number_Of_Engines,Engine_Type,Purpose_Of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_Of_Flight,Publication_Date,Total_Passengers,Fatal_Injury_Number,Uninjured_Number
20001212X22410,Accident,DEN90LA046,1990-01-16,"NEW YORK, NY",United States,LA GUARDIA,Non-Fatal,Substantial,N505UA,Boeing,757-222,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,176.0,VMC,Takeoff,05-09-1991,176.0,0.0,1.0
20001212X22404,Accident,DEN90FA043,1990-01-17,"LEADVILLE, CO",United States,,Fatal(1),Destroyed,N835FE,Cessna,208A,1.0,Turbo Prop,Unknown,1.0,0.0,0.0,0.0,VMC,Cruise,21-09-1992,1.0,1.0,0.0
20001212X22458,Accident,MIA90LA056,1990-01-17,"BOCA RATON, FL",United States,BOCA RATON,Non-Fatal,Substantial,N335GP,Cessna,404,2.0,Reciprocating,Ferry,0.0,0.0,3.0,0.0,VMC,Approach,10-09-1992,3.0,0.0,0.0
20001212X22409,Accident,DEN90LA045,1990-01-17,"FORT MORGAN, CO",United States,FORT MORGAN,Non-Fatal,Substantial,N3135J,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Takeoff,29-09-1992,2.0,0.0,0.5
20001212X22400,Accident,DCA90MA017B,1990-01-18,"ATLANTA, GA",United States,HARTSFIELD-ATLANTA INTL,Fatal(1),Substantial,N8867E,Boeing,727,3.0,Turbo Fan,Unknown,1.0,1.0,0.0,157.0,VMC,Landing,03-05-1993,159.0,0.006289308176100629,0.9874213836477987
20001212X22488,Accident,NYC90LA052,1990-01-19,"E. PROSPECT, PA",United States,,Non-Fatal,Destroyed,N6017G,Cessna,C150,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Climb,09-11-1992,1.0,0.0,0.0
20001212X22395,Accident,CHI90LA068,1990-01-19,"SULLIVAN, IN",United States,SULLIVAN COUNTY,Non-Fatal,Substantial,N50292,Cessna,150H,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Takeoff,15-09-1992,1.0,0.0,1.0
20001212X22490,Accident,NYC90LA055,1990-01-20,"SCHUYLER, NY",United States,,Non-Fatal,Destroyed,N66787,Cessna,150M,1.0,Reciprocating,Instructional,0.0,1.0,1.0,0.0,VMC,Cruise,10-09-1992,2.0,0.0,0.0
20001212X22388,Incident,CHI90IA070,1990-01-20,"CEDAR RAPIDS, IA",United States,CEDAR RAPIDS MUNI,Incident,Minor,N338UA,Boeing,B737-300,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,72.0,VMC,Takeoff,10-05-1993,72.0,0.0,1.0
20001212X22438,Accident,LAX90LA072,1990-01-20,"EL CAJON, CA",United States,GILLISPIE FIELD,Non-Fatal,Substantial,N4898L,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,04-09-1992,1.0,0.0,1.0
20001212X22396,Accident,CHI90LA071,1990-01-20,"ACME, MI",United States,ACME SKYPORT,Non-Fatal,Substantial,N34860,Cessna,177B,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Approach,04-09-1992,2.0,0.0,1.0
20001212X22425,Accident,FTW90LA057,1990-01-21,"GOLIAD, TX",United States,,Non-Fatal,Substantial,N9892Q,Cessna,172M,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Maneuvering,29-09-1992,1.0,0.0,1.0
20001212X22360,Accident,ANC90LA031,1990-01-21,"WILLOW, AK",United States,WILLOW,Non-Fatal,Substantial,N1802R,Cessna,185,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,18-05-1992,2.0,0.0,1.0
20001212X22462,Accident,MIA90LA061,1990-01-24,"MISSING, FL",United States,,Fatal(2),Destroyed,N4802B,Cessna,152,1.0,Reciprocating,Instructional,2.0,0.0,0.0,0.0,VMC,Unknown,30-09-1991,2.0,1.0,0.0
20001212X22474,Accident,MKC90LA051,1990-01-24,"CONWAY, AR",United States,BLAYLOCK,Non-Fatal,Substantial,N8298K,Gulfstream,G-164B,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Landing,15-09-1992,1.0,0.0,1.0
20001212X22401,Accident,DCA90MA019,1990-01-25,"COVE NECK, NY",United States,JFK INTL,Fatal(73),Destroyed,HK201,Boeing,707-321B,4.0,Turbo Fan,Unknown,73.0,81.0,4.0,0.0,IMC,Approach,10-05-1993,158.0,0.4620253164556962,0.0
